,flg,text,text_length,is_year,is_month,is_date,is_time,num_hatena,num_bikkuri,is_eiga,is_henkakko,is_normalkakko,is_whitekakko,is_vol,is_sports,text_wakati,text_del_one
25,1,あの頃に戻りたい…｡戻りたいのはいつ?,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,あの 頃 に 戻る たい … ｡ 戻る たい の は いる つ ? ,あの 戻る たい 戻る たい いる 
26,2,落合監督断言 他の監督はやりやすくなった｡逃げ道なくなったもん,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,落合 監督 断言   他 の 監督 は やる やすい なる た ｡ 逃げ道 ない なる た もん ,落合 監督 断言 監督 やる やすい なる 逃げ道 ない なる もん 
27,3,第00回東京国際映画祭作品ｶﾞｲﾄﾞ<ﾜｰﾙﾄﾞｼﾈﾏ部門>,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,第 00 回 東京国際映画祭 作品 ｶﾞｲﾄﾞ < ﾜｰﾙﾄﾞｼﾈﾏ 部門 > ,00 東京国際映画祭 作品 ｶﾞｲﾄﾞ ﾜｰﾙﾄﾞｼﾈﾏ 部門 
28,7,写真の撮り方がうますぎる!孫社長 桜を詠んだ句と写真が話題,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,写真 の 撮る 方 が うまい すぎる ! 孫 社長   桜 を 詠む だ 句 と 写真 が 話題 ,写真 撮る うまい すぎる 社長 詠む 写真 話題 
29,6,春に向けてﾄﾞｺ磨く? ﾊﾟｰﾂｴｽﾃでﾃﾞｨﾃｰﾙ美人,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,春 に 向ける て ﾄﾞｺ 磨く ?   ﾊﾟｰﾂｴｽﾃ で ﾃﾞｨﾃｰﾙ 美人 ,向ける ﾄﾞｺ 磨く ﾊﾟｰﾂｴｽﾃ ﾃﾞｨﾃｰﾙ 美人 
30,6,終了しました人気のｷｬﾝﾃﾞｨｰﾎﾞﾄﾙを0つｾｯﾄで各0名様にﾌﾟﾚｾﾞﾝﾄ,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,終了 する ます た 人気 の ｷｬﾝﾃﾞｨｰﾎﾞﾄﾙ を 0 つ ｾｯﾄ で 各 0 名 様 に ﾌﾟﾚｾﾞﾝﾄ ,終了 する ます 人気 ｷｬﾝﾃﾞｨｰﾎﾞﾄﾙ ｾｯﾄ ﾌﾟﾚｾﾞﾝﾄ 
31,0,ｽﾏﾎ回線の値下げ競争がはじまる! auのｽﾏｰﾄﾊﾞﾘｭｰ発表はどう影響するか話題,44.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,ｽﾏﾎ 回線 の 値下げ 競争 が はじまる !   au の ｽﾏｰﾄﾊﾞﾘｭｰ 発表 は どう 影響 する か 話題 ,ｽﾏﾎ 回線 値下げ 競争 はじまる au ｽﾏｰﾄﾊﾞﾘｭｰ 発表 どう 影響 する 話題 
32,0,震災特番が大ｺｹ! めちゃｲｹは何を間違ったのか?話題,31.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,震災 特番 が 大 ｺｹ !   め ちゃ ｲｹ は 何 を 間違う た の か ? 話題 ,震災 特番 ｺｹ ちゃ ｲｹ 間違う 話題 
33,5,nttﾄﾞｺﾓ､android向けｱﾌﾟﾘしゃべってｺﾝｼｪﾙをver0.0.0にｱｯﾌﾟﾃﾞｰﾄ!“答えそのもの”を返すように成長,68.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,ntt ﾄﾞｺﾓ ､ android 向け ｱﾌﾟﾘ しゃべる て ｺﾝｼｪﾙ を ver 0 . 0 . 0 に ｱｯﾌﾟﾃﾞｰﾄ !“ 答え そのもの ” を 返す よう に 成長 ,ntt ﾄﾞｺﾓ android 向け ｱﾌﾟﾘ しゃべる ｺﾝｼｪﾙ ver ｱｯﾌﾟﾃﾞｰﾄ !“ 答え そのもの 返す よう 成長 
34,5,kddi､au向けaquos phone sl is00shおよびaquos phone serie isw00shに不具合でｿﾌﾄｳｪｱ更新を提供開始,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,kddi ､ au 向け aquos   phone   sl   is 00 sh および aquos   phone   serie   isw 00 sh に 不具合 だ ｿﾌﾄｳｪｱ 更新 を 提供 開始 ,kddi au 向け aquos phone sl is 00 sh および aquos phone serie isw 00 sh 不具合 ｿﾌﾄｳｪｱ 更新 提供 開始 
35,8,中川翔子の太ももに不可解なｱｻﾞの怪,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中川 翔子 の 太もも に 不可解 だ ｱｻﾞ の 怪 ,中川 翔子 太もも 不可解 ｱｻﾞ 
36,2,宮市亮､ﾎﾞﾙﾄﾝで活躍も本当に毎日が憂鬱,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,宮 市 亮 ､ ﾎﾞﾙﾄﾝ で 活躍 も 本当に 毎日 が 憂鬱 ,ﾎﾞﾙﾄﾝ 活躍 本当に 毎日 憂鬱 
37,4,00歳からの肉体改造､“ｵﾔｼﾞｸﾗｽ”で充実したﾗｲﾌｽﾀｲﾙを——新生活特集,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00 歳 から の 肉体 改造 ､“ ｵﾔｼﾞｸﾗｽ ” で 充実 する た ﾗｲﾌｽﾀｲﾙ を —— 新 生活 特集 ,00 から 肉体 改造 ､“ ｵﾔｼﾞｸﾗｽ 充実 する ﾗｲﾌｽﾀｲﾙ —— 生活 特集 
38,6,今年こそ“彼を夢中にさせる”女にﾁｪﾝｼﾞ,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,今年 こそ “ 彼 を 夢中 に する せる ” 女 に ﾁｪﾝｼﾞ ,今年 こそ 夢中 する せる ﾁｪﾝｼﾞ 
39,1,00歳から始める!? “踊る女子”が続々出現!,23.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,00 歳 から 始める !?   “ 踊る 女子 ” が 続々 出現 ! ,00 から 始める !? 踊る 女子 続々 出現 
40,8,五輪ｻｯｶｰ  英韓戦を前に韓国では最悪のｼﾅﾘｵの声,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,五輪 ｻｯｶｰ    英 韓 戦 を 前 に 韓国 で は 最悪 の ｼﾅﾘｵ の 声 ,五輪 ｻｯｶｰ    韓国 最悪 ｼﾅﾘｵ 
41,1,ｵﾌｨｽ節約術の新しい味方!,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,ｵﾌｨｽ 節約 術 の 新しい 味方 ! ,ｵﾌｨｽ 節約 新しい 味方 
42,5,明日発売開始!facebook連携もできるﾊｲｸﾞﾚｰﾄﾞなｽﾏｰﾄﾜｲﾔﾚｽｽﾃﾚｵﾍｯﾄﾞｾｯﾄmw0を試すﾚﾋﾞｭｰ,65.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,明日 発売 開始 ! facebook 連携 も できる ﾊｲｸﾞﾚｰﾄﾞ だ ｽﾏｰﾄﾜｲﾔﾚｽｽﾃﾚｵﾍｯﾄﾞｾｯﾄ mw 0 を 試す ﾚﾋﾞｭｰ ,明日 発売 開始 facebook 連携 できる ﾊｲｸﾞﾚｰﾄﾞ ｽﾏｰﾄﾜｲﾔﾚｽｽﾃﾚｵﾍｯﾄﾞｾｯﾄ mw 試す ﾚﾋﾞｭｰ 
43,6,あわや″姉妹どんぶり″の過去も!? 倖田來未さん結婚,26.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,あわや ″ 姉妹 どんぶり ″ の 過去 も !?   倖田來 未 さん 結婚 ,あわや 姉妹 どんぶり 過去 !? 倖田來 さん 結婚 
44,4,ｾｸﾊﾗや不倫が横行している会社です… - 辛口説教部屋 0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,ｾｸﾊﾗ や 不倫 が 横行 する て いる 会社 です …   -   辛口 説教 部屋   0 ,ｾｸﾊﾗ 不倫 横行 する いる 会社 です 辛口 説教 部屋 
45,3,週末映画まとめ読み ﾓﾃｷ初登場0位でﾄｯﾌﾟ0を邦画が独占<号>,42.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,週末 映画 まとめ 読む   ﾓﾃｷ 初 登場 0 位 で ﾄｯﾌﾟ 0 を 邦画 が 独占 < 号 > ,週末 映画 まとめ 読む ﾓﾃｷ 登場 ﾄｯﾌﾟ 邦画 独占 
46,8,韓国ﾆｭｰｽ中国で反北朝鮮の動き､韓国はさすが北,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,韓国 ﾆｭｰｽ 中国 で 反 北朝鮮 の 動き ､ 韓国 は さすが 北 ,韓国 ﾆｭｰｽ 中国 北朝鮮 動き 韓国 さすが 
47,8,橋下徹大阪市長の税制改革案に不安の声,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,橋下 徹 大阪 市長 の 税制 改革 案 に 不安 の 声 ,橋下 大阪 市長 税制 改革 不安 
48,8,台湾警察がﾊﾟﾝﾂ丸見えの“うしじまいい肉”に激怒,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,台湾 警察 が ﾊﾟﾝﾂ 丸見え の “ う しじま いい 肉 ” に 激怒 ,台湾 警察 ﾊﾟﾝﾂ 丸見え しじま いい 激怒 
49,1,東尾理子も不妊を告白!産めないかもしれない不安,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,東尾 理子 も 不妊 を 告白 ! 産める ない かも しれる ない 不安 ,東尾 理子 不妊 告白 産める ない かも しれる ない 不安 
50,3,“崖っぷちの男”の本当の目的,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,“ 崖っぷち の 男 ” の 本当 の 目的 ,崖っぷち 本当 目的 
51,5,ｳｨﾙｺﾑ初のpantoneﾌﾞﾗﾝﾄﾞのphs音声端末pantone phs wx00shを写真で紹介ﾚﾎﾟｰﾄ,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,ｳｨﾙｺﾑ 初 の pantone ﾌﾞﾗﾝﾄﾞ の phs 音声 端末 pantone   phs   wx 00 sh を 写真 で 紹介 ﾚﾎﾟｰﾄ ,ｳｨﾙｺﾑ pantone ﾌﾞﾗﾝﾄﾞ phs 音声 端末 pantone phs wx 00 sh 写真 紹介 ﾚﾎﾟｰﾄ 
52,8,米紙も注目したｹﾞｰﾑ竹島争奪戦,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,米 紙 も 注目 する た ｹﾞｰﾑ 竹島 争奪 戦 ,注目 する ｹﾞｰﾑ 竹島 争奪 
53,8,ｷﾑﾀｸが本当に嫌いになった共演俳優を実名で明かす,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ｷﾑﾀｸ が 本当に 嫌い に なる た 共演 俳優 を 実名 で 明かす ,ｷﾑﾀｸ 本当に 嫌い なる 共演 俳優 実名 明かす 
54,2,香川真司､快勝に貢献もﾌｨｼﾞｶﾙ弱すぎの声  ,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,香川 真司 ､ 快勝 に 貢献 も ﾌｨｼﾞｶﾙ 弱 すぎ の 声 ,香川 真司 快勝 貢献 ﾌｨｼﾞｶﾙ すぎ 
55,6,終了しました食べるｽｷﾝｹｱで冬の枯れ肌を撃退!美人食材を食べて0ヶ月できれいに! ﾋﾞｭｰﾃｨｰﾚｼﾋﾟを0名様にﾌﾟﾚｾﾞﾝﾄ,69.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,終了 する ます た 食べる ｽｷﾝｹｱ で 冬 の 枯れる 肌 を 撃退 ! 美人 食材 を 食べる て 0 ヶ月 で きれい に !   ﾋﾞｭｰﾃｨｰﾚｼﾋﾟ を 0 名 様 に ﾌﾟﾚｾﾞﾝﾄ ,終了 する ます 食べる ｽｷﾝｹｱ 枯れる 撃退 美人 食材 食べる ヶ月 きれい ﾋﾞｭｰﾃｨｰﾚｼﾋﾟ ﾌﾟﾚｾﾞﾝﾄ 
56,4,ｴﾘｱが広がりますます便利に!契約数000万件突破のwimaxでｽﾏﾎからﾀﾌﾞﾚｯﾄまで拡大するﾓﾊﾞｲﾙを活用してﾗｲﾌｽﾀｲﾙを変えよう,71.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,ｴﾘｱ が 広がる ます ます 便利 に ! 契約 数 000 万 件 突破 の wimax で ｽﾏﾎ から ﾀﾌﾞﾚｯﾄ まで 拡大 する ﾓﾊﾞｲﾙ を 活用 する て ﾗｲﾌｽﾀｲﾙ を 変える う ,ｴﾘｱ 広がる ます ます 便利 契約 000 突破 wimax ｽﾏﾎ から ﾀﾌﾞﾚｯﾄ まで 拡大 する ﾓﾊﾞｲﾙ 活用 する ﾗｲﾌｽﾀｲﾙ 変える 
57,7,はｱｷﾊﾞへgo!ultrabooker.jp専用ﾌﾞｰｽでｵﾘｼﾞﾅﾙｸﾞｯｽﾞを当てよう,49.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,は ｱｷﾊﾞ へ go ! ultrabooker . jp 専用 ﾌﾞｰｽ で ｵﾘｼﾞﾅﾙｸﾞｯｽﾞ を 当てる う ,ｱｷﾊﾞ go ultrabooker jp 専用 ﾌﾞｰｽ ｵﾘｼﾞﾅﾙｸﾞｯｽﾞ 当てる 
58,2,まさに才色兼備､000cmの“美白の壁”がﾛﾝﾄﾞﾝを引き寄せる,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,まさに 才色兼備 ､ 000 cm の “ 美 白 の 壁 ” が ﾛﾝﾄﾞﾝ を 引き寄せる ,まさに 才色兼備 000 cm ﾛﾝﾄﾞﾝ 引き寄せる 
59,7,こういうwifi名もｱﾘ? 自作自演もある楽しいwifiｱｸｾｽﾎﾟｲﾝﾄ名,38.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,こういう wifi 名 も ｱﾘ ?   自作 自演 も ある 楽しい wifi ｱｸｾｽﾎﾟｲﾝﾄ 名 ,こういう wifi ｱﾘ 自作 自演 ある 楽しい wifi ｱｸｾｽﾎﾟｲﾝﾄ 
60,6,歌って踊るｷｭｰﾄなﾗﾌﾞｽﾄｰﾘｰﾋｰｽ･ﾚｼﾞｬｰの恋のからさわぎ,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,歌う て 踊る ｷｭｰﾄ だ ﾗﾌﾞｽﾄｰﾘｰﾋｰｽ ･ ﾚｼﾞｬｰ の 恋 の から さわぐ ,歌う 踊る ｷｭｰﾄ ﾗﾌﾞｽﾄｰﾘｰﾋｰｽ ﾚｼﾞｬｰ から さわぐ 
61,4,ﾚﾄﾛﾌﾞｰﾑに真打ち登場 “浅草浪漫の味”電気ﾌﾞﾗﾝに熱い視線,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ﾚﾄﾛﾌﾞｰﾑ に 真打ち 登場   “ 浅草 浪漫 の 味 ” 電気 ﾌﾞﾗﾝ に 熱い 視線 ,ﾚﾄﾛﾌﾞｰﾑ 真打ち 登場 浅草 浪漫 電気 ﾌﾞﾗﾝ 熱い 視線 
62,3,､ｴｼﾞﾌﾟﾄの大ﾋﾟﾗﾐｯﾄﾞに隠された“真実”が明らかになる,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,､ ｴｼﾞﾌﾟﾄ の 大 ﾋﾟﾗﾐｯﾄﾞ に 隠す れる た “ 真実 ” が 明らか に なる ,ｴｼﾞﾌﾟﾄ ﾋﾟﾗﾐｯﾄﾞ 隠す れる 真実 明らか なる 
